GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,Winrate
Overall,2022-23,1610612761,TOR,2022-11-09T00:00:00,12,7,5,0.583,20.4,3.0,7.7,0.391,0.4,2.3,0.179,2.3,2.8,0.848,2.0,5.0,7.0,1.3,1.3,0.2,0.6,0.5,1.6,1.8,8.8,-0.8,20.2,2,0,19.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612763,MEM,2022-11-27T00:00:00,19,12,7,0.632,26.6,3.5,5.5,0.635,0.0,0.0,0.0,0.8,3.1,0.276,4.9,6.0,10.9,2.2,2.3,0.7,0.9,0.3,2.5,2.9,7.8,5.7,26.8,7,0,24.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612762,UTA,2022-11-07T00:00:00,6,5,1,0.833,11.1,1.3,3.2,0.421,0.0,1.0,0.0,0.7,1.2,0.571,0.7,1.0,1.7,0.2,0.0,0.0,0.0,0.2,1.0,0.8,3.3,-1.0,5.6,0,0,5.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612763,MEM,2022-11-27T00:00:00,19,11,8,0.579,25.8,3.6,8.0,0.447,1.3,3.8,0.333,1.2,1.7,0.688,1.6,4.2,5.8,1.0,0.6,0.9,0.9,0.4,2.6,2.2,9.6,2.3,23.1,1,0,21.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612762,UTA,2022-11-28T00:00:00,13,6,7,0.462,10.7,1.3,3.7,0.354,0.6,1.9,0.32,0.6,0.7,0.889,0.2,0.8,1.0,1.5,0.8,0.6,0.3,0.2,1.5,1.0,3.8,-0.2,9.4,0,0,8.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612749,MIL,2022-11-27T00:00:00,17,13,4,0.765,26.9,3.4,7.4,0.456,2.1,4.7,0.45,2.4,2.6,0.911,0.9,2.3,3.2,2.6,1.3,0.9,0.3,0.6,1.5,2.0,11.2,7.5,21.3,0,0,21.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612739,CLE,2022-11-25T00:00:00,17,12,5,0.706,32.0,5.5,9.4,0.588,0.0,0.1,0.0,2.4,3.1,0.788,2.9,7.8,10.8,1.3,1.7,0.5,1.2,0.8,2.2,3.6,13.5,5.8,31.9,9,0,29.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612740,NOP,2022-11-28T00:00:00,20,12,8,0.6,20.5,3.4,7.3,0.462,1.4,3.8,0.36,0.6,0.7,0.786,0.4,2.0,2.4,3.3,1.5,1.1,0.2,0.2,2.2,1.1,8.6,3.9,18.8,0,0,18.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612750,MIN,2022-11-28T00:00:00,16,6,10,0.375,20.5,2.3,4.4,0.521,0.4,1.1,0.412,1.2,1.5,0.792,0.7,3.1,3.8,2.6,1.3,0.9,0.8,0.1,1.3,1.7,6.3,0.8,18.6,0,0,16.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612749,MIL,2022-11-27T00:00:00,16,12,4,0.75,32.6,11.4,21.3,0.534,0.7,3.0,0.229,7.5,12.5,0.6,1.9,9.4,11.4,5.4,3.8,0.9,1.0,1.4,3.3,8.9,30.9,7.0,54.8,11,1,52.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
